File Name,Paper Title,Research Category / Keywords,Venue,In,Use,R,AF,Datasets,Link,Notes ,Column1
Autoformalize_mathematical_statements_by_symbolic_equivalence.pdf,Autoformalizing Mathematical Statements by Symbolic Equivalence and Semantic Consistency,"Autoformalization, self-consistency, symbolic equivalence, semantic consistency, MATH and miniF2F datasets",NeurIPS 2024,100,100,100.00%,90,MiniF2F,https://github.com/Miracle-Messi/Isa-AutoFormal,,
AutoICE.pdf,LLM-driven Evolution,"Autoformalization, verifiable C code, Large Language Model, evolutionary search, ACSL",,100,70,70.00%,90,FM-ALPACA and FM-BENCH,https://github.com/lbearxy/AutoICE,Synthesizing verifiable C code,
Automated_Proof_Generation.pdf,Automated Proof Generation for Rust Code via Self-Evolution,"Automated proof generation, Rust, self-evolution, formal verification, SAFE framework", ICLR 2025,50,100,100.00%,90,"VerusBench, CodeNet, MBPP",,proof generation for Rust,
Automating Formal Verification in Interactive Theorem Provers.pdf,Automating Formal Verification in Interactive Theorem Provers,"Formal verification, interactive theorem provers, proof search, Coq, Isabelle/HOL, Proverbot9001, LemmaNAID",,50,90,90.00%,90,,,,
autospec.pdf,Enchanting Program Specification Synthesis by Large Language Models Using Static Analysis and Program Verification,"Program specification synthesis, static analysis, formal verification, AutoSpec framework",,30,50,60.00%,50,SyGuS,,"C program veri?cation, Synthesizing verifiable C code",
AutoVerus.pdf,AutoVerus: Automated Proof Generation for Rust Code,"Program verification, program synthesis, Verus, Large Language Models, Rust",,50,80,80.00%,90,Verus-Bench,https://github.com/microsoft/verus-proof-synthesis,RAG-based proof generation for Rust,
BC-Prover.pdf,BC-Prover: Backward Chaining Prover for Formal Theorem Proving,"Backward chaining, formal theorem proving, pseudo steps, Lean, miniF2F",CEMNLP 2024,100,100,100.00%,100,MiniF2F,,step-proof generation,
Benchmarking_ATP.pdf,Benchmarking Automated Theorem Proving with Large Language Models,"Automated theorem proving, benchmarking, large language models, Lean Copilot, interactive theorem proving",NLP4Science 2024,50,80,80.00%,80,MiniF2F,https://code.ornl.gov/v28/atp_lean_copilot,,
BEq+.pdf,Reliable Evaluation and Benchmarks for Statement Autoformalization,"Statement autoformalization, metrics, benchmarks, Lean 4, BEq+, research-level mathematics",CEMNLP 2025,90,90,80.00%,100,"ProofNet#,  RLM25",https://github.com/augustepoiroux/LeanInteract,,
BFS-Prover-V2.pdf,Scaling up Multi-Turn Off-Policy RL and Multi-Agent Tree Search for LLM Step-Provers,"Off-policy RL, multi-agent tree search, LLM step-provers, miniF2F, ProofNet",,90,90,90.00%,90,"miniF2F, ProofNet",https://github.com/ByteDance-Seed/BFS-Prover-V2,https://bfs-prover.github.io/V2/,
BFS-Prover.pdf,BFS-Prover: Scalable Best-First Tree Search for LLM-based Automatic Theorem Proving,"Best-first tree search, automatic theorem proving, expert iteration, Lean4, MiniF2F",,90,90,90.00%,90,"miniF2F, ProofNet",https://bfs-prover.github.io/V2/,,
Bourbaki.pdf,BOURBAKI: SELF-GENERATED AND GOAL-CONDITIONED MDPS FOR THEOREM PROVING,"Goal-conditioned reinforcement learning, automated theorem proving, PutnamBench, subgoal generation, MCTS",,50,60,60.00%,50,PutnamBench,https://trishullab.github.io/PutnamBench/leaderboard.html,using FM data to improve formal mathematical reasoning for LLMs,
Canonical.pdf,Canonical for Automated Theorem Proving in Lean,"Type inhabitation, automated theorem proving, Lean, program synthesis, dependent type theory",,60,60,60.00%,59,,https://github.com/chasenorman/Canonical,Automated Theorem Proving in Lean,
CARTS.pdf,CARTS: [Diversified Tactic Calibration assisted MCTS],"Neural theorem proving, MCTS, tactic calibration, Lean, miniF2F",,70,90,70.00%,60,"miniF2F, ProofNet",https://github.com/njuyxw/CARTS,,
Cobblestone.pdf,Cobblestone: A Divide-and-Conquer Approach for Automating Formal Verification,"Formal verification, divide-and-conquer, proof synthesis, LLM, Coq",ICSE '26,90,90,80.00%,80,"CoqGym, coq-wigderson,coq-bb5, PnVRocqLib ",,,
COPRA.pdf,An In-Context Learning Agent for Formal Theorem-Proving,"In-context learning, formal theorem proving, backtracking search, Lean, Coq",,90,80,80.00%,90,miniF2F,https://github.com/trishullab/copra,appendix,
CoqProver.pdf,Clarifying Before Reasoning: A Coq Prover with Structural Context,"Theorem proving, Coq, task clarity, structured semantic context, Planner-Executor architecture",,60,70,70.00%,50,Coq Lib,,good paper,
CRAMF.pdf,Automated Formalization via Conceptual Retrieval-Augmented LLMs,"Autoformalization, RAG, Mathlib4, Lean 4, conceptual retrieval",,80,80,80.00%,80,"miniF2F, ProofNet",,,
DDR.pdf,Improving Autoformalization Using Direct Dependency Retrieval,"Statement autoformalization, dependency retrieval, suffix array check, RAG",,60,79,80.00%,80,Own data,,,
Deep_learning-based_software_engineering.pdf,"Deep learning-based software engineering: progress, challenges, and opportunities","Deep learning, software engineering, survey, requirements engineering, code generation",,40,100,70.00%,0,,,,
DeepSeek-Prover-V1.5.pdf,DeepSeek-Prover-V1.5: Harnessing Proof Assistant Feedback for Reinforcement Learning and Monte-Carlo Tree Search,"Theorem proving, Lean 4, reinforcement learning from proof assistant feedback (RLPAF), RMaxTS",,90,80,70.00%,80,"miniF2F, ProofNet",https://github.com/deepseek-ai/DeepSeek-Prover-V1.5,,
DeepSeek-Prover.pdf,DeepSeek-Prover: Advancing Theorem Proving in LLMs through Large-Scale Synthetic Data,"Theorem proving, LLMs, synthetic data generation, Lean 4, autoformalization",,90,80,90.00%,90,"MiniF2F, formal-IMO",,,
DIR.pdf,[DIR: Direct and Indirect Reasoning],"Indirect reasoning (IR), direct reasoning (DR), logical reasoning, mathematic proof",,60,90,90.00%,70,"LogiQA, ProofWriter, ProofNet",,,
draft_proof.pdf,"Draft, Sketch, and Prove: Guiding Formal Theorem Provers with Informal Proofs","Formal proof automation, informal proofs, formal sketches, Isabelle",,80,80,90.00%,90,MiniF2F,,,
DRIFT.pdf,"DRIFT: DECOMPOSE, RETRIEVE, ILLUSTRATE, THEN FORMALIZE THEOREMS","Retrieval-augmented autoformalization, query decomposition, Mathlib, Lean",,100,80,90.00%,90,"ProofNet, ConNF, MiniF2F",,,
DS-Prover.pdf,Enhancing Neural Theorem Proving through Data Augmentation and Dynamic Sampling Method,"Neural theorem proving, data augmentation, dynamic sampling, Lean, Mathlib",,80,80,80.00%,80,MiniF2F,,,
DSP+.pdf,Reviving DSP for Advanced Theorem Proving in the Era of Reasoning Models,"Automated theorem proving, Draft, Sketch, and Prove (DSP), neuro-symbolic, Lean 4",,90,90,90.00%,90,"miniF2F, ProofNet, Putnambench",https://github.com/microsoft/DSP-Plus,,
Easy2Hard-Bench.pdf,Easy2Hard-Bench: Standardized Difficulty Labels for Profiling LLM Performance and Generalization,"Benchmark datasets, difficulty annotations, LLM performance, math, coding, puzzles",NeurIPS 2024),40,100,40.00%,40,Easy2Hard,https://huggingface.co/datasets/furonghuang-lab/Easy2Hard-Bench,,
Evaluating_Autoformalization_Robustness_via_Semantically_Similar_Paraphrasing.pdf,Evaluating Autoformalization Robustness via Semantically Similar Paraphrasing,"Autoformalization robustness, semantically similar paraphrasing, MiniF2F, ProofNet, LLM sensitivity",,10,20,20.00%,60,miniF2F,,,
Evaluating_on_FSCQ.pdf,Can Large Language Models Verify System Software? A Case Study Using FSCQ as a Benchmark,"System software verification, LLMs, FSCQ, Coq, best-first tree search",,60,70,80.00%,90,FSCQ,https://github.com/QDelta/LLM-for-FSCQ,,
FANS.pdf,FANS: Formal Answer Selection for LLM Natural Language Math Reasoning Using Lean4,"Answer selection, natural language math reasoning, Lean4, verifiable solutions",,50,50,50.00%,60,"MATH500, AMC23",,Math reseaning,
Faults_in_our_Formal_Benchmarks.pdf,Faults in our Formal Benchmarks,"LLM-assisted theorem proving, benchmarks, quality assessment, Lean, misformalization",NeurIPS 2025,60,100,100.00%,90,"MiniF2F, MATH, ProofNet, CombiBench, ProverBench ",,,
FEABench.pdf,FEABENCH: EVALUATING LANGUAGE MODELS ON MULTIPHYSICS REASONING ABILITY,"Multiphysics reasoning, numerical simulation, finite element analysis (FEA), COMSOL Multiphysics®",,50,50,50.00%,60,FEABench,,Formal physics,
FEAS.pdf,Towards Automated Functional Equation Proving: A Benchmark Dataset and A Domain-Specific In-Context Agent,"Functional equation proving, benchmark dataset (FunEq), in-context agent (FEAS), Lean",,40,60,60.00%,60,FunEq,https://github.com/bio-ontology-research-group/FEAS,formal equations,
fm-universe.pdf,From Informal to Formal – Incorporating and Evaluating LLMs on Natural Language Requirements to Verifiable Formal Proofs,"Formal verification, sub-tasks, instruction fine-tuning, FM-ALPACA, FM-BENCH",,100,100,100.00%,100,"FM-ALPACA, FM-BENCH",https://huggingface.co/fm-universe,formal specs for software,
FormalAlign.pdf,FORMALALIGN: AUTOMATED ALIGNMENT EVALUATION FOR AUTOFORMALIZATION,"Autoformalization, automated alignment evaluation, dual loss framework, Lean 4",,100,100,100.00%,100,"FormL4, MMA, MiniF2F",https://github.com/rookie-joe/FormalAlign,,
forml4.pdf,Process-Driven Autoformalization in Lean 4,"Autoformalization, Lean 4, FORML4 dataset, process-driven framework (PDA)",,100,100,100.00%,100,FormL4,,,
FPS.pdf,"Beyond Theorem Proving: Formulation, Framework and Benchmark for Formal Problem-Solving","Formal Problem-Solving (FPS), deterministic Markov decision process, benchmarks (FormalMath500, MiniF2F-Solving, PutnamBench-Solving)",,50,100,100.00%,100,"MiniF2F, MATH, PutnamBench",https://github.com/Purewhite2019/formal_problem_solving_main,,
Fusion_Roadmap.pdf,The Fusion of Large Language Models and Formal Methods for Trustworthy AI Agents: A Roadmap,"Large Language Models, Formal Methods, SMT Solver, Automated Reasoning, Model Checking",,20,100,100.00%,50,,,software,
FVEL.pdf,FVEL: Interactive Formal Verification Environment with Large Language Models via Theorem Proving,"Formal verification (FV), Isabelle, neural automated theorem proving, FVELER dataset",,50,90,90.00%,90,"SeL4, Code2Inv, SV-COMP ",https://fveler.github.io/,software,
GAR.pdf,Generative Adversarial Reinforcement Learning for Formal Mathematical Reasoning,"Reinforcement Learning (RL), Statement Fusion, prover performance enhancement, curriculum learning",,50,90,90.00%,90,,,Math reseaning,
Goedel-Prover-V2.pdf,Goedel-Prover-V2: Scaling Formal Theorem Proving with Scaffolded Data Synthesis and Self-Correction,"Automated theorem proving, scaffolded data synthesis, verifier-guided self-correction, model averaging",,60,100,90.00%,90,"miniF2F, MATH, Putnambench",https://github.com/Goedel-LM/Goedel-Prover-V2,,
Goedel-Prover.pdf,Goedel-Prover: A Frontier Model for Open-Source Automated Theorem Proving,"Formal proof generation, Numina dataset, expert iteration, supervised fine-tuning",,60,100,90.00%,90,"miniF2F, MATH, Putnambench, Lean Workbook, ProofNet",https://github.com/Goedel-LM/Goedel-Prover,,
HepLean.pdf,HepLean: Digitalising high energy physics,"High energy physics digitalisation, Lean 4, interactive theorem proving",,20,60,50.00%,60,,https://github.com/HEPLean/PhysLean,physics,
Hilbert.pdf,HILBERT: Recursively Building Formal Proofs with Informal Reasoning,"Multi-turn agentic framework, informal mathematical reasoning, subgoal decomposition",,60,90,80.00%,80,"MiniF2F, PutnamBench",,Using Informal LLMs for Formal Theorem Proving,
HTPS-Prover.pdf,HyperTree Proof Search for Neural Theorem Proving,"HyperTree Proof Search (HTPS), online training, Metamath, Lean proving environment",NeurIPS 2022,60,100,80.00%,80,MiniF2F,,,
HunyuanProver.pdf,HUNYUANPROVER: A Scalable Data Synthesis Framework and Guided Tree Search for Automated Theorem Proving,"Interactive theorem proving, guided tree search, data synthesis framework, LEAN4",,60,100,80.00%,80,MiniF2F,,,
HybridProver.pdf,HybridProver: Augmenting Theorem Proving with LLM-Driven Proof Synthesis and Refinement,"Dual-model proof synthesis, tactic-based generation, whole-proof synthesis, Isabelle",,70,80,80.00%,80,MiniF2F,,good paper,
HyperTree_Proof_Search.pdf,Automated Theorem Proving by HyperTree Proof Search with Retrieval-Augmented Tactic Generator,"HTPS, retrieval-augmented generation (RAG), ReProver",,20,100,80.00%,80,MiniF2F,,,
ImProver.pdf,IMPROVER: AGENT-BASED AUTOMATED PROOF OPTIMIZATION,"Automated proof optimization, Lean, Chain-of-States, readability metrics",,70,90,90.00%,90,"Mathematics in Lean, Comp?les (IMO), MiniF2F ",,,
Ineq-Comp.pdf,Compositional Generalization in Formal Theorem Proving,"Compositional reasoning, mathematical inequalities, Ineq-Comp benchmark, Lean 4",,100,100,100.00%,90,Ineq-Comp,https://github.com/haoyuzhao123/LeanIneqComp,,
internLM.pdf,InternLM-Math: Open Math Large Language Models Toward Verifiable Reasoning,"Chain-of-thought, reward modeling, RICO, Python code interpreter",,70,100,100.00%,90,"MATH, GSM8K",https://github.com/InternLM/InternLM-Math,Math reseaning,
InternLM2.5-StepProver.pdf,InternLM2.5-StepProver: Advancing Automated Theorem Proving via Critic-Guided Search,"Critic-guided search, process supervision, expert iteration, Lean-workbook-plus",,80,100,90.00%,80,,,,
KiminaLeanServer.pdf,Kimina Lean Server: Technical Report,"Server-side parallelization, LRU caching, data extraction for tree search, Lean 4",,20,50,50.00%,40,,https://github.com/project-numina/kimina-lean-server,,
Laurel.pdf,Laurel: Unblocking Automated Verification with Large Language Models,"Program synthesis, Dafny, assertion generation, proof similarity",,60,60,70.00%,80,DafnyGym,,,
Lean Workbook.pdf,Lean Workbook: A large-scale Lean problem set formalized from natural language math problems,"Autoformalization pipeline, active learning, formal-informal question pairs",,70,100,80.00%,80,Lean Workbook,https://github.com/InternLM/InternLM-Math,,
LEAN-GitHub.pdf,LEAN-GitHub: Compiling GitHub LEAN repositories for a versatile LEAN prover,"Formal theorem-proving data extraction, GitHub repositories, InternLM-math-plus",,40,80,70.00%,60," LEAN-GitHub,",https://github.com/InternLM/InternLM-Math,,
Lean-STaR.pdf,Lean-STaR: Learning to Interleave Thinking and Proving,"Informal thoughts, formal proving, expert iteration, thought-augmented tactic predictor",,90,100,100.00%,80,,https://leanstar.github.io/,,
Leanabell-Prover.pdf,Leanabell-Prover: Posttraining Scaling in Formal Reasoning,"Posttraining scaling, reinforcement learning, whole-proof generation",,90,80,80.00%,90,,https://github.com/Leanabell-LM/Leanabell-Prover,,
LeanChemicalTheories.pdf,Formalizing chemical physics using the Lean theorem prover,"Chemical physics, interactive theorem proving, Langmuir and BET theories",,60,100,90.00%,90,,https://atomslab.github.io/LeanChemicalTheories/,physics + good note about Lean,
LeanComb.pdf,LEANCOMB: A COMBINATORIAL IDENTITIES BENCHMARK FOR THEOREM PROVING VIA AUTOMATED THEOREM GENERATION,"Combinatorial identities, automated theorem generation (ATG), ATG4CI method, Lean 4", ICLR 2026,70,100,90.00%,90,"CombiBench, PutnamBench",https://anonymous.4open.science/r/LeanComb-A-Combinatorial-Identities-Benchmark-for-Theorem-Proving-via-Automated-Theorem-Generation-E0D3/README.md,dataset,
LeanCopilot.pdf,Towards Large Language Models as Copilots for Theorem Proving in Lean,"LLM-based proof automation tools, human assistance, neural network inference in Lean",NeurIPS 2023,30,50,50.00%,60,,,,
LeanDojo-v2.pdf,LeanDojo-v2: A Comprehensive Library for AI-Assisted Theorem Proving in Lean,"Repository data extraction, LLM fine-tuning, proof search, AI autocompletion",NeurIPS 2025,90,100,80.00%,80,,https://leandojo.org/,Theorem proving with HuggingFace API,
leandojo.pdf,LeanDojo: Theorem Proving with Retrieval-Augmented Language Models,"Open-source Lean playground, ReProver, premise selection, mathlib",NeurIPS 2023,90,100,80.00%,90,"miniF2F, ProofNet, LeanDojo",https://leandojo.org/,ReProver ( Retrieval-Augmented Prover ),
LeanEuclid.pdf,Autoformalizing Euclidean Geometry,"Euclidean geometry, neuro-symbolic framework, SMT solvers, LeanEuclid benchmark",,100,100,100.00%,100,,https://github.com/loganrjmurphy/LeanEuclid,,
LeanExplore.pdf,LeanExplore: A search engine for Lean 4 declarations,"Semantic retrieval, hybrid ranking (embeddings, BM25+, PageRank), Lean 4",,50,70,70.00%,70,,https://github.com/justincasher/lean-explore,"Agentic, MCP, RAG",
LeanFinder.pdf,LEAN FINDER: SEMANTIC SEARCH FOR MATHLIB THAT UNDERSTANDS USER INTENTS,"User-centered semantic search, user intent clustering, fine-tuned embeddings, human alignment",,50,100,60.00%,60,,https://huggingface.co/spaces/delta-lab-ai/Lean-Finder,search for proofs.,
LeanHammer.pdf,Premise Selection for a Lean Hammer,"Premise selection, hammer systems, dependent type theory, neural retrieval",,60,100,60.00%,60,miniCTX-v2,https://github.com/JOSHCLUNE/LeanHammer,,
LeanNavigator.pdf,Generating Millions Of Lean Theorems With Proofs By Exploring State Transition Graphs,"Dataset generation, state transition graphs, tactic templates, Mathlib4",,60,70,60.00%,80,"MiniF2F, LeanDojo",https://github.com/davidsyin/leannavigator,,
LeanProgress.pdf,LeanProgress: Guiding Search for Neural Theorem Proving through Proof Progress Prediction,"Proof progress prediction, best-first search, reinforcement learning",,60,80,70.00%,80,MiniF2F,,,
LeanTutor.pdf,LeanTutor: A Lean-Verified Tutor for Mathematical Proofs,"Tutoring system, autoformalizer/proof-checker, next-step generator, PeanoBench",,30,,,,,,,
LeanWorkbook.pdf,Lean Workbook: A large-scale Lean problem set formalized from natural language math problems,"Autoformalization pipeline, active learning, formal-informal question pairs, math contest problems",,90,80,90.00%,90,,https://github.com/InternLM/InternLM-Math,,
Learning_formal_mathematics_from_intrinsic_motivation.pdf,Learning Formal Mathematics From Intrinsic Motivation,"Conjecturing, theorem proving, intrinsic motivation, hindsight relabeling, MINIMO",NeurIPS 2024,100,100,80.00%,90,,https://github.com/gpoesia/minimo,,
LEGO-Prover.pdf,LEGO-PROVER: NEURAL THEOREM PROVING WITH GROWING LIBRARIES,"Skill library, Isabelle, decomposer, formal reasoning",,80,90,80.00%,80,MiniF2F,https://github.com/wiio12/LEGO-Prover,,
LLM-based_ATP_Hinges_on_Data.pdf,LLM-based Automated Theorem Proving Hinges on Data Synthesis,"Data synthesis, proof state exploration, adaptive beam size strategy, Lean 4",,70,90,90.00%,90,"miniF2F, ProofNet",https://github.com/NJUDeepEngine/llm_based_atp,search for proofs.,
llm-learning-by-teaching.pdf,Large Language Models can Self-Improve by Learning-by-Teaching,"Learning by teaching (LbT), Feynman learning method, rationale scoring, mathematical reasoning",,20,20,20.00%,0,,https://github.com/imagination-research/lbt,,
LLMs_Formal_Provers.pdf,REINFORCED LARGE LANGUAGE MODEL IS A FORMAL THEOREM PROVER,"Reinforcement learning, theorem formalization, Lean proof assistant",,40,40,30.00%,20,,https://github.com/zhilingluo/theorem_prover,,
LLMSTEP.pdf,LLMSTEP: LLM proofstep suggestions in Lean,"Proofstep suggestions, Lean 4 tactic, fine-tuning and evaluation code",,10,10,10.00%,10,,https://github.com/wellecks/llmstep,step-proof generation,
Lyra.pdf,LYRA: ORCHESTRATING DUAL CORRECTION IN AUTOMATED THEOREM PROVING,"Tool Correction, Conjecture Correction, hallucination mitigation, Isabelle",,20,50,50.00%,50,miniF2F,https://github.com/chuanyang-Zheng/Lyra-theorem-prover,,
MA-LoT.pdf,MA-LoT: Model-Collaboration Lean-based Long Chain-of-Thought Reasoning enhances Formal Theorem Proving,"Model-Collaboration, Long Chain-of-Thought (CoT), LoT-Transfer Learning, prover-corrector, error analysis",,70,100,60.00%,90,MiniF2F,,Reasoning enhances Formal Theorem Proving,
miniCodeProps.pdf,miniCodeProps: a Minimal Benchmark for Proving Code Properties,"Program specifications, Lean proof assistant, list/natural number/binary tree properties",,90,100,60.00%,80,miniCodeProps,https://github.com/cmu-l3/minicodeprops-eval,,
miniCTX.pdf,MINICTX: NEURAL THEOREM PROVING WITH (LONG-) CONTEXTS,"Context-dependent proving, Lean 4, NTP-TOOLKIT, long-context evaluation.", ICLR 2025,80,80,60.00%,90,miniCTX,https://cmu-l3.github.io/minictx/,,
MiniF2F_in_Rocq.pdf,MiniF2F in Rocq: Automatic Translation Between Proof Assistants,"Cross-system translation, Rocq formalization, multi-turn error feedback.",NeurIPS 2025,70,90,90.00%,90,MiniF2F,https://github.com/LLM4Rocq/miniF2F-rocq,Automatic Translation Between Proof Assistants,
MiniF2F-Dafny.pdf,MINIF2F-DAFNY: LLM-Guided Mathematical Theorem Proving via Auto-Active Verification,"miniF2F, Dafny, auto-active verification, proof hints.",,90,90,90.00%,90,miniF2F-Dafny,https://github.com/dafny-lang/miniF2F,,
minif2f.pdf,MINIF2F: A CROSS-SYSTEM BENCHMARK FOR FORMAL OLYMPIAD-LEVEL MATHEMATICS,"Olympiad-level math, cross-system benchmark (Metamath, Lean, Isabelle), GPT-f.",,70,90,80.00%,50,,https://github.com/openai/miniF2F/tree/v1,,
MLFMF.pdf,MLFMF: Data Sets for Machine Learning for Mathematical Formalization,"Formalization benchmarks, heterogeneous networks, s-expressions, recommendation systems.",NeurIPS 2023,60,60,60.00%,60,,https://github.com/ul-fmf/mlfmf-data,Recommendation systems used to support formalization,
mma.pdf,Multi-language Diversity Benefits Autoformalization,"MMA dataset, multi-language/multi-domain aligned data, Isabelle, Lean 4.",NeurIPS 2024,70,80,70.00%,100,"miniF2F, ProofNet",,,
Modeling_Tactics_as_Operators.pdf,Modeling Tactics as Operators: Effect-Grounded Representations for Lean Theorem Proving,"Tactic embeddings, Lean 4, state transition effects, effect-grounded representations.",MathNLP 2025,60,60,60.00%,70,,,,
MPS-Prover.pdf,MPS-Prover: Advancing Stepwise Theorem Proving by Multi-Perspective Search and Data Curation,"Stepwise theorem proving, multi-perspective search, post-training data curation.",,70,70,80.00%,80,"miniF2F, ProofNet",,,
MS-RAG_Auto-SEF.pdf,Consistent Autoformalization for Constructing Mathematical Libraries,"Autoformalization, Most-Similar RAG (MS-RAG), syntax error feedback (Auto-SEF), denoising.",EMNLP 2024,90,100,80.00%,90,IsarMathLib,https://github.com/lanzhang128/retrieval_augmented_autoformalization/,,
NaturalProver.pdf,NATURAL PROVER: Grounded Mathematical Proof Generation with Language Models,"Natural mathematical language, next-step suggestion, full proof generation, constrained decoding.",NeurIPS 2022,30,50.00%,50.00%,50,N ATURAL PROOFS-GEN,https://github.com/wellecks/naturalprover,,
Optimizing_LLM_Guided_Formal_Verification.pdf,Probabilistic Proof State Compression: Optimizing LLM-Guided Formal Verification,"Proof state compression, conformal prediction, Lean miniF2F.",,10,20,20.00%,20,,,,
Pantograph.pdf,"Pantograph: A Machine-to-Machine Interaction Interface for Advanced Theorem Proving, High Level Reasoning, and Data Extraction in Lean 4","Machine-to-machine interface, Lean 4, data extraction, Monte Carlo Tree Search.",TACAS 2025,20,20,20.00%,20,,https://github.com/stanford-centaur/PyPantograph,,
PDE-Controller.pdf,PDE-Controller: LLMs for Autoformalization and Reasoning of PDEs,"Applied mathematics, Partial Differential Equations (PDEs), scientific reasoning, RLHF.",ICML 2025,100,100,100.00%,100,,https://pde-controller.github.io/,Great paper,
POETRY.pdf,Proving Theorems Recursively,"Isabelle, recursive proving, proof sketches, recursive Best-First Search.",NeurIPS 2024,70,90,90.00%,90,"MiniF2F, PISA",https://github.com/wiio12/POETRY,,
ProofCompass.pdf,PROOFCOMPASS: Enhancing Specialized Provers with LLM Guidance,"Hybrid methodology, specialized provers (DeepSeek-Prover-v1.5-RL), problem decomposition.",,,,,,,,,
ProofGym.pdf,PROOFGYM: Unifying LLM-Based Theorem Proving Across Formal Systems,"Unified Python API, Coq, Isabelle, Lean, high-throughput verification.",NeurIPS 2025,66,100,100.00%,20,,https://neurips.cc/virtual/2023/73946,"backend that unifies interaction with heterogeneous proof assistants (Lean, Coq, and Isabelle)",
ProofNet.pdf,ProofNet: Autoformalizing and Formally Proving Undergraduate-Level Mathematics,"Undergraduate-level math, autoformalization, Lean 3, distilled backtranslation.",,80,100,100.00%,90,ProofNet,https://github.com/zhangir-azerbayev/ProofNet,,
ProofWala.pdf,PROOF WALA: Multilingual Proof Data Synthesis and Theorem-Proving,"Multilingual framework, Coq, Lean, cross-lingual transfer, parallel proof search.",,90,100,100.00%,100,PROOFWALA (Lean-Coq),https://github.com/trishullab/proof-wala,,
ProverAgent.pdf,PROVER AGENT: AN AGENT-BASED FRAMEWORK FOR FORMAL MATHEMATICAL PROOFS,"Agent-based framework, auxiliary lemma generation, Lean feedback coordination.",,90,90,90.00%,90,MiniF2F,https://github.com/kAIto47802/Prover-Agent,,
Proving_by_Rewarding_LLMs.pdf,Formal Theorem Proving by Rewarding LLMs to Decompose Proofs Hierarchically,"Isabelle, RL-based training, hierarchical decomposition, proof sub-trees.",,50,60,70.00%,70,SFT,https://huggingface.co/kfdong/ProD/tree/main,,
